Country or Area,Item,Year,Value
Jordan,Industry (including construction), value added (% of GDP),2013,25.6406605947577
Jordan,Industry (including construction), value added (% of GDP),2014,25.5087965588519
Jordan,Industry (including construction), value added (% of GDP),2015,25.2328062594007
Jordan,Industry (including construction), value added (% of GDP),2016,24.6693119626594
Jordan,Industry (including construction), value added (% of GDP),2017,24.5139698529782
Jordan,Industry (including construction), value added (% of GDP),2018,24.077832929113
Jordan,Industry (including construction), value added (% of GDP),2019,24.11179067633
Jordan,Industry (including construction), value added (% of GDP),2020,23.5538100159112
Jordan,Industry (including construction), value added (% of GDP),2021,23.4204240200794
Jordan,Industry (including construction), value added (% of GDP),2022,23.9482807258558
Jordan,Industry (including construction), value added (% of GDP),2023,
Japan,Industry (including construction), value added (% of GDP),1960,
Japan,Industry (including construction), value added (% of GDP),1961,
Japan,Industry (including construction), value added (% of GDP),1962,
Japan,Industry (including construction), value added (% of GDP),1963,
Japan,Industry (including construction), value added (% of GDP),1964,
Japan,Industry (including construction), value added (% of GDP),1965,
Japan,Industry (including construction), value added (% of GDP),1966,
Japan,Industry (including construction), value added (% of GDP),1967,
Japan,Industry (including construction), value added (% of GDP),1968,
Japan,Industry (including construction), value added (% of GDP),1969,
Japan,Industry (including construction), value added (% of GDP),1970,
Japan,Industry (including construction), value added (% of GDP),1971,
Japan,Industry (including construction), value added (% of GDP),1972,
Japan,Industry (including construction), value added (% of GDP),1973,
Japan,Industry (including construction), value added (% of GDP),1974,
Japan,Industry (including construction), value added (% of GDP),1975,
Japan,Industry (including construction), value added (% of GDP),1976,
Japan,Industry (including construction), value added (% of GDP),1977,
Japan,Industry (including construction), value added (% of GDP),1978,
Japan,Industry (including construction), value added (% of GDP),1979,
Japan,Industry (including construction), value added (% of GDP),1980,
Japan,Industry (including construction), value added (% of GDP),1981,
Japan,Industry (including construction), value added (% of GDP),1982,
Japan,Industry (including construction), value added (% of GDP),1983,
Japan,Industry (including construction), value added (% of GDP),1984,
Japan,Industry (including construction), value added (% of GDP),1985,
Japan,Industry (including construction), value added (% of GDP),1986,
Japan,Industry (including construction), value added (% of GDP),1987,
Japan,Industry (including construction), value added (% of GDP),1988,
Japan,Industry (including construction), value added (% of GDP),1989,
Japan,Industry (including construction), value added (% of GDP),1990,
Japan,Industry (including construction), value added (% of GDP),1991,
Japan,Industry (including construction), value added (% of GDP),1992,
Japan,Industry (including construction), value added (% of GDP),1993,
Japan,Industry (including construction), value added (% of GDP),1994,34.5538729353019
Japan,Industry (including construction), value added (% of GDP),1995,34.3164431135314
Japan,Industry (including construction), value added (% of GDP),1996,34.2859586217919
Japan,Industry (including construction), value added (% of GDP),1997,33.928702183847
Japan,Industry (including construction), value added (% of GDP),1998,33.3769930665088
Japan,Industry (including construction), value added (% of GDP),1999,32.8723148204433
Japan,Industry (including construction), value added (% of GDP),2000,32.5135870554896
Japan,Industry (including construction), value added (% of GDP),2001,30.9812266965407
Japan,Industry (including construction), value added (% of GDP),2002,30.2226000788974
Japan,Industry (including construction), value added (% of GDP),2003,30.0789207597555
Japan,Industry (including construction), value added (% of GDP),2004,29.9669305435635
Japan,Industry (including construction), value added (% of GDP),2005,29.8717070448265
Japan,Industry (including construction), value added (% of GDP),2006,29.6655718124813
Japan,Industry (including construction), value added (% of GDP),2007,29.5972958103344
Japan,Industry (including construction), value added (% of GDP),2008,28.7829764402439
Japan,Industry (including construction), value added (% of GDP),2009,27.1112122235818
Japan,Industry (including construction), value added (% of GDP),2010,28.3359701667911
Japan,Industry (including construction), value added (% of GDP),2011,26.7014360671016
Japan,Industry (including construction), value added (% of GDP),2012,26.562641428228
Japan,Industry (including construction), value added (% of GDP),2013,26.6507450551464
Japan,Industry (including construction), value added (% of GDP),2014,27.3136267349767
Japan,Industry (including construction), value added (% of GDP),2015,28.5837114240167
Japan,Industry (including construction), value added (% of GDP),2016,28.6299476490573
Japan,Industry (including construction), value added (% of GDP),2017,28.8824260088632
Japan,Industry (including construction), value added (% of GDP),2018,29.0140076866127
Japan,Industry (including construction), value added (% of GDP),2019,28.8040848106902
Japan,Industry (including construction), value added (% of GDP),2020,29.07340051522
Japan,Industry (including construction), value added (% of GDP),2021,29.2628608719163
Japan,Industry (including construction), value added (% of GDP),2022,26.9164340611327
Japan,Industry (including construction), value added (% of GDP),2023,
Kazakhstan,Industry (including construction), value added (% of GDP),1960,
Kazakhstan,Industry (including construction), value added (% of GDP),1961,
Kazakhstan,Industry (including construction), value added (% of GDP),1962,
Kazakhstan,Industry (including construction), value added (% of GDP),1963,
Kazakhstan,Industry (including construction), value added (% of GDP),1964,
Kazakhstan,Industry (including construction), value added (% of GDP),1965,
Kazakhstan,Industry (including construction), value added (% of GDP),1966,
Kazakhstan,Industry (including construction), value added (% of GDP),1967,
Kazakhstan,Industry (including construction), value added (% of GDP),1968,
Kazakhstan,Industry (including construction), value added (% of GDP),1969,
Kazakhstan,Industry (including construction), value added (% of GDP),1970,
Kazakhstan,Industry (including construction), value added (% of GDP),1971,
Kazakhstan,Industry (including construction), value added (% of GDP),1972,
Kazakhstan,Industry (including construction), value added (% of GDP),1973,
Kazakhstan,Industry (including construction), value added (% of GDP),1974,
Kazakhstan,Industry (including construction), value added (% of GDP),1975,
Kazakhstan,Industry (including construction), value added (% of GDP),1976,
Kazakhstan,Industry (including construction), value added (% of GDP),1977,
Kazakhstan,Industry (including construction), value added (% of GDP),1978,
Kazakhstan,Industry (including construction), value added (% of GDP),1979,
Kazakhstan,Industry (including construction), value added (% of GDP),1980,
Kazakhstan,Industry (including construction), value added (% of GDP),1981,
Kazakhstan,Industry (including construction), value added (% of GDP),1982,
Kazakhstan,Industry (including construction), value added (% of GDP),1983,
Kazakhstan,Industry (including construction), value added (% of GDP),1984,
Kazakhstan,Industry (including construction), value added (% of GDP),1985,
Kazakhstan,Industry (including construction), value added (% of GDP),1986,
Kazakhstan,Industry (including construction), value added (% of GDP),1987,
Kazakhstan,Industry (including construction), value added (% of GDP),1988,
Kazakhstan,Industry (including construction), value added (% of GDP),1989,
Kazakhstan,Industry (including construction), value added (% of GDP),1990,
Kazakhstan,Industry (including construction), value added (% of GDP),1991,
Kazakhstan,Industry (including construction), value added (% of GDP),1992,38.971807628524
Kazakhstan,Industry (including construction), value added (% of GDP),1993,36.9896441911287
Kazakhstan,Industry (including construction), value added (% of GDP),1994,38.6987187721976
Kazakhstan,Industry (including construction), value added (% of GDP),1995,29.9976927400191
Kazakhstan,Industry (including construction), value added (% of GDP),1996,25.5877645603598
Kazakhstan,Industry (including construction), value added (% of GDP),1997,25.6063822311795
Kazakhstan,Industry (including construction), value added (% of GDP),1998,29.3146310413852
Kazakhstan,Industry (including construction), value added (% of GDP),1999,32.9666653326432
Kazakhstan,Industry (including construction), value added (% of GDP),2000,37.7758296698614
Kazakhstan,Industry (including construction), value added (% of GDP),2001,36.1418298622593
Kazakhstan,Industry (including construction), value added (% of GDP),2002,35.8109321050125
Kazakhstan,Industry (including construction), value added (% of GDP),2003,35.0752659061292
Kazakhstan,Industry (including construction), value added (% of GDP),2004,35.3518419501918
Kazakhstan,Industry (including construction), value added (% of GDP),2005,37.6280181516768
Kazakhstan,Industry (including construction), value added (% of GDP),2006,39.3564557485124
Kazakhstan,Industry (including construction), value added (% of GDP),2007,37.7308974758662
Kazakhstan,Industry (including construction), value added (% of GDP),2008,40.2502455752721
Kazakhstan,Industry (including construction), value added (% of GDP),2009,38.4314808509372
Kazakhstan,Industry (including construction), value added (% of GDP),2010,40.6024221199984
Kazakhstan,Industry (including construction), value added (% of GDP),2011,37.2660880953566
Kazakhstan,Industry (including construction), value added (% of GDP),2012,36.3028533254093
Kazakhstan,Industry (including construction), value added (% of GDP),2013,33.6988156382046
Kazakhstan,Industry (including construction), value added (% of GDP),2014,33.2094258316125
Kazakhstan,Industry (including construction), value added (% of GDP),2015,30.8547873936113
Kazakhstan,Industry (including construction), value added (% of GDP),2016,31.9797903606788
Kazakhstan,Industry (including construction), value added (% of GDP),2017,32.3252253010728
Kazakhstan,Industry (including construction), value added (% of GDP),2018,33.4962004017876
Kazakhstan,Industry (including construction), value added (% of GDP),2019,33.028795913527
Kazakhstan,Industry (including construction), value added (% of GDP),2020,33.0977971542858
Kazakhstan,Industry (including construction), value added (% of GDP),2021,35.2669295966944
Kazakhstan,Industry (including construction), value added (% of GDP),2022,34.9793974237581
Kazakhstan,Industry (including construction), value added (% of GDP),2023,
Kenya,Industry (including construction), value added (% of GDP),1960,16.8899002147668
Kenya,Industry (including construction), value added (% of GDP),1961,17.1380695104351
Kenya,Industry (including construction), value added (% of GDP),1962,15.4286588458886
Kenya,Industry (including construction), value added (% of GDP),1963,13.9790024866669
Kenya,Industry (including construction), value added (% of GDP),1964,15.4723912808443
Kenya,Industry (including construction), value added (% of GDP),1965,16.6666713430615
Kenya,Industry (including construction), value added (% of GDP),1966,16.280353897529
Kenya,Industry (including construction), value added (% of GDP),1967,17.4670604270786
Kenya,Industry (including construction), value added (% of GDP),1968,17.6611768600513
Kenya,Industry (including construction), value added (% of GDP),1969,18.0435826053566
Kenya,Industry (including construction), value added (% of GDP),1970,17.9722697586701
Kenya,Industry (including construction), value added (% of GDP),1971,18.2873067355229
Kenya,Industry (including construction), value added (% of GDP),1972,18.6805740100983
Kenya,Industry (including construction), value added (% of GDP),1973,18.643971308209
Kenya,Industry (including construction), value added (% of GDP),1974,18.3228056943528
Kenya,Industry (including construction), value added (% of GDP),1975,17.886688393081
Kenya,Industry (including construction), value added (% of GDP),1976,16.3573163181068
Kenya,Industry (including construction), value added (% of GDP),1977,15.8669847841282
Kenya,Industry (including construction), value added (% of GDP),1978,17.4325155020417
Kenya,Industry (including construction), value added (% of GDP),1979,17.3203995365205
Kenya,Industry (including construction), value added (% of GDP),1980,17.7777789731857
Kenya,Industry (including construction), value added (% of GDP),1981,17.3890608875129
Kenya,Industry (including construction), value added (% of GDP),1982,17.3095812253195
Kenya,Industry (including construction), value added (% of GDP),1983,16.9086920577645
Kenya,Industry (including construction), value added (% of GDP),1984,16.4291493076177
Kenya,Industry (including construction), value added (% of GDP),1985,16.7407322173242
Kenya,Industry (including construction), value added (% of GDP),1986,16.1804594237027
Kenya,Industry (including construction), value added (% of GDP),1987,15.929756823564
Kenya,Industry (including construction), value added (% of GDP),1988,16.7532821189209
Kenya,Industry (including construction), value added (% of GDP),1989,16.3699112873458
Kenya,Industry (including construction), value added (% of GDP),1990,16.3257927194842
Kenya,Industry (including construction), value added (% of GDP),1991,17.0035108667738
Kenya,Industry (including construction), value added (% of GDP),1992,15.8460707265979
Kenya,Industry (including construction), value added (% of GDP),1993,14.3670196698653
Kenya,Industry (including construction), value added (% of GDP),1994,14.5520570887762
Kenya,Industry (including construction), value added (% of GDP),1995,13.5565179326743
Kenya,Industry (including construction), value added (% of GDP),1996,16.3920534652717
Kenya,Industry (including construction), value added (% of GDP),1997,15.926383171516
Kenya,Industry (including construction), value added (% of GDP),1998,15.5421633218862
Kenya,Industry (including construction), value added (% of GDP),1999,14.915302558375
Kenya,Industry (including construction), value added (% of GDP),2000,15.0158560285564
Kenya,Industry (including construction), value added (% of GDP),2001,15.3096240912508
Kenya,Industry (including construction), value added (% of GDP),2002,15.4535611803669
Kenya,Industry (including construction), value added (% of GDP),2003,15.6231500412624
Kenya,Industry (including construction), value added (% of GDP),2004,16.2050773387406
Kenya,Industry (including construction), value added (% of GDP),2005,17.0126260396617
Kenya,Industry (including construction), value added (% of GDP),2006,19.3841059353688
Kenya,Industry (including construction), value added (% of GDP),2007,19.3021680815154
Kenya,Industry (including construction), value added (% of GDP),2008,18.5827717274425
Kenya,Industry (including construction), value added (% of GDP),2009,18.386624667775
Kenya,Industry (including construction), value added (% of GDP),2010,18.5746727706851
Kenya,Industry (including construction), value added (% of GDP),2011,19.6629008334867
Kenya,Industry (including construction), value added (% of GDP),2012,19.26155255789
Kenya,Industry (including construction), value added (% of GDP),2013,19.0802591143975
Kenya,Industry (including construction), value added (% of GDP),2014,19.0360328023672
Kenya,Industry (including construction), value added (% of GDP),2015,18.8940456983605
Kenya,Industry (including construction), value added (% of GDP),2016,18.1621592865164
Kenya,Industry (including construction), value added (% of GDP),2017,17.5035092078691
Kenya,Industry (including construction), value added (% of GDP),2018,17.313146131064
Kenya,Industry (including construction), value added (% of GDP),2019,16.9305452274709
Kenya,Industry (including construction), value added (% of GDP),2020,17.4002876322786
Kenya,Industry (including construction), value added (% of GDP),2021,17.1524357767952
Kenya,Industry (including construction), value added (% of GDP),2022,17.6562235849776
Kenya,Industry (including construction), value added (% of GDP),2023,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1960,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1961,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1962,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1963,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1964,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1965,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1966,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1967,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1968,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1969,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1970,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1971,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1972,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1973,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1974,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1975,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1976,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1977,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1978,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1979,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1980,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1981,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1982,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1983,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1984,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1985,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1986,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1987,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1988,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1989,
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1990,34.1098130841121
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1991,33.8248648648649
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1992,36.0628625387832
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1993,30.517115804807
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1994,23.88345314164
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1995,18.1095192968765
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1996,17.0282871709837
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1997,21.0592588730255
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1998,20.7612912285629
Kyrgyz Republic,Industry (including construction), value added (% of GDP),1999,23.1250231823404
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2000,29.1996199376661
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2001,26.8324889860388
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2002,21.3137031159609
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2003,20.2432676693128
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2004,21.6893695542269
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2005,19.9674526656306
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2006,17.5544661208558
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2007,16.6822999949964
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2008,20.4289120967446
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2009,23.6357293329934
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2010,26.2652737926744
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2011,27.4490880946162
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2012,22.2571297250342
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2013,24.843594671242
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2014,23.8882289228189
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2015,25.0780623169816
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2016,26.5464240007793
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2017,27.3080934715766
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2018,27.4785136821163
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2019,26.5803149529246
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2020,26.9042468476068
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2021,23.7483015677374
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2022,22.2588601089415
Kyrgyz Republic,Industry (including construction), value added (% of GDP),2023,
Cambodia,Industry (including construction), value added (% of GDP),1960,
Cambodia,Industry (including construction), value added (% of GDP),1961,
Cambodia,Industry (including construction), value added (% of GDP),1962,
Cambodia,Industry (including construction), value added (% of GDP),1963,
Cambodia,Industry (including construction), value added (% of GDP),1964,
Cambodia,Industry (including construction), value added (% of GDP),1965,
Cambodia,Industry (including construction), value added (% of GDP),1966,
Cambodia,Industry (including construction), value added (% of GDP),1967,
Cambodia,Industry (including construction), value added (% of GDP),1968,
Cambodia,Industry (including construction), value added (% of GDP),1969,
Cambodia,Industry (including construction), value added (% of GDP),1970,
Cambodia,Industry (including construction), value added (% of GDP),1971,
Cambodia,Industry (including construction), value added (% of GDP),1972,
Cambodia,Industry (including construction), value added (% of GDP),1973,
Cambodia,Industry (including construction), value added (% of GDP),1974,
Cambodia,Industry (including construction), value added (% of GDP),1975,
Cambodia,Industry (including construction), value added (% of GDP),1976,
Cambodia,Industry (including construction), value added (% of GDP),1977,
Cambodia,Industry (including construction), value added (% of GDP),1978,
Cambodia,Industry (including construction), value added (% of GDP),1979,
Cambodia,Industry (including construction), value added (% of GDP),1980,
Cambodia,Industry (including construction), value added (% of GDP),1981,
Cambodia,Industry (including construction), value added (% of GDP),1982,
Cambodia,Industry (including construction), value added (% of GDP),1983,
Cambodia,Industry (including construction), value added (% of GDP),1984,
Cambodia,Industry (including construction), value added (% of GDP),1985,
Cambodia,Industry (including construction), value added (% of GDP),1986,
Cambodia,Industry (including construction), value added (% of GDP),1987,
Cambodia,Industry (including construction), value added (% of GDP),1988,
Cambodia,Industry (including construction), value added (% of GDP),1989,
Cambodia,Industry (including construction), value added (% of GDP),1990,
Cambodia,Industry (including construction), value added (% of GDP),1991,
Cambodia,Industry (including construction), value added (% of GDP),1992,
Cambodia,Industry (including construction), value added (% of GDP),1993,12.6462429891696
Cambodia,Industry (including construction), value added (% of GDP),1994,13.7227155633242
Cambodia,Industry (including construction), value added (% of GDP),1995,14.26204476065
Cambodia,Industry (including construction), value added (% of GDP),1996,14.988565801564
Cambodia,Industry (including construction), value added (% of GDP),1997,16.3857369937735
Cambodia,Industry (including construction), value added (% of GDP),1998,16.7090818114912
Cambodia,Industry (including construction), value added (% of GDP),1999,18.0398264256172
Cambodia,Industry (including construction), value added (% of GDP),2000,21.8566544779243
Cambodia,Industry (including construction), value added (% of GDP),2001,22.2873527845429
Cambodia,Industry (including construction), value added (% of GDP),2002,24.2538610048411
Cambodia,Industry (including construction), value added (% of GDP),2003,24.9856524758562
Cambodia,Industry (including construction), value added (% of GDP),2004,25.6454284436393
Cambodia,Industry (including construction), value added (% of GDP),2005,24.9914303604232
Cambodia,Industry (including construction), value added (% of GDP),2006,26.1831701237924
Cambodia,Industry (including construction), value added (% of GDP),2007,24.9442858368418
Cambodia,Industry (including construction), value added (% of GDP),2008,22.3717898486212
Cambodia,Industry (including construction), value added (% of GDP),2009,21.6617419596643
Cambodia,Industry (including construction), value added (% of GDP),2010,21.8686244832311
Cambodia,Industry (including construction), value added (% of GDP),2011,22.1418106034958
Cambodia,Industry (including construction), value added (% of GDP),2012,22.9764549067317
Cambodia,Industry (including construction), value added (% of GDP),2013,24.06765417098
Cambodia,Industry (including construction), value added (% of GDP),2014,25.6068608533361
Cambodia,Industry (including construction), value added (% of GDP),2015,27.6795721131501
Cambodia,Industry (including construction), value added (% of GDP),2016,29.4519627446816
Cambodia,Industry (including construction), value added (% of GDP),2017,30.8489276132922
Cambodia,Industry (including construction), value added (% of GDP),2018,32.2893931179487
Cambodia,Industry (including construction), value added (% of GDP),2019,34.2260507193204
Cambodia,Industry (including construction), value added (% of GDP),2020,34.5600606698578
Cambodia,Industry (including construction), value added (% of GDP),2021,36.8347844240917
Cambodia,Industry (including construction), value added (% of GDP),2022,37.8984560220301
Cambodia,Industry (including construction), value added (% of GDP),2023,
Kiribati,Industry (including construction), value added (% of GDP),1960,
Kiribati,Industry (including construction), value added (% of GDP),1961,
Kiribati,Industry (including construction), value added (% of GDP),1962,
Kiribati,Industry (including construction), value added (% of GDP),1963,
Kiribati,Industry (including construction), value added (% of GDP),1964,
Kiribati,Industry (including construction), value added (% of GDP),1965,
Kiribati,Industry (including construction), value added (% of GDP),1966,
Kiribati,Industry (including construction), value added (% of GDP),1967,
Kiribati,Industry (including construction), value added (% of GDP),1968,
Kiribati,Industry (including construction), value added (% of GDP),1969,
Kiribati,Industry (including construction), value added (% of GDP),1970,
Kiribati,Industry (including construction), value added (% of GDP),1971,
Kiribati,Industry (including construction), value added (% of GDP),1972,
Kiribati,Industry (including construction), value added (% of GDP),1973,
Kiribati,Industry (including construction), value added (% of GDP),1974,
Kiribati,Industry (including construction), value added (% of GDP),1975,
Kiribati,Industry (including construction), value added (% of GDP),1976,
Kiribati,Industry (including construction), value added (% of GDP),1977,
Kiribati,Industry (including construction), value added (% of GDP),1978,53.6708860759494
Kiribati,Industry (including construction), value added (% of GDP),1979,45.1426772975241
Kiribati,Industry (including construction), value added (% of GDP),1980,5.71081081081081
Kiribati,Industry (including construction), value added (% of GDP),1981,6.23947368421053
Kiribati,Industry (including construction), value added (% of GDP),1982,6.1
Kiribati,Industry (including construction), value added (% of GDP),1983,6.33571428571429
Kiribati,Industry (including construction), value added (% of GDP),1984,3.47083333333333
Kiribati,Industry (including construction), value added (% of GDP),1985,4.29782608695652
Kiribati,Industry (including construction), value added (% of GDP),1986,4.96170212765957
Kiribati,Industry (including construction), value added (% of GDP),1987,4.75686274509804
Kiribati,Industry (including construction), value added (% of GDP),1988,3.48947368421053
Kiribati,Industry (including construction), value added (% of GDP),1989,3.94285714285714
Kiribati,Industry (including construction), value added (% of GDP),1990,4.21090909090909
Kiribati,Industry (including construction), value added (% of GDP),1991,11.1959016393443
Kiribati,Industry (including construction), value added (% of GDP),1992,9.03907692307692
Kiribati,Industry (including construction), value added (% of GDP),1993,9.55695652173913
Kiribati,Industry (including construction), value added (% of GDP),1994,8.6684
Kiribati,Industry (including construction), value added (% of GDP),1995,8.68486842105263
Kiribati,Industry (including construction), value added (% of GDP),1996,8.22694117647059
Kiribati,Industry (including construction), value added (% of GDP),1997,7.6232967032967
Kiribati,Industry (including construction), value added (% of GDP),1998,10.3938461538462
Kiribati,Industry (including construction), value added (% of GDP),1999,11.596261682243
Kiribati,Industry (including construction), value added (% of GDP),2000,10.4933620689655
Kiribati,Industry (including construction), value added (% of GDP),2001,10.4539344262295
Kiribati,Industry (including construction), value added (% of GDP),2002,9.1972896824919
Kiribati,Industry (including construction), value added (% of GDP),2003,8.82917590572744
Kiribati,Industry (including construction), value added (% of GDP),2004,7.94518914328941
Kiribati,Industry (including construction), value added (% of GDP),2005,6.74859744727914
Kiribati,Industry (including construction), value added (% of GDP),2006,9.95150008197169
Kiribati,Industry (including construction), value added (% of GDP),2007,10.4991296450465
Kiribati,Industry (including construction), value added (% of GDP),2008,10.8992512682054
Kiribati,Industry (including construction), value added (% of GDP),2009,10.3340149644735
Kiribati,Industry (including construction), value added (% of GDP),2010,11.9257352585055
Kiribati,Industry (including construction), value added (% of GDP),2011,12.9009365963387
Kiribati,Industry (including construction), value added (% of GDP),2012,13.6791762583486
Kiribati,Industry (including construction), value added (% of GDP),2013,14.5166530042996
Kiribati,Industry (including construction), value added (% of GDP),2014,14.5388413970375
Kiribati,Industry (including construction), value added (% of GDP),2015,15.3003603406472
Kiribati,Industry (including construction), value added (% of GDP),2016,15.4800246864841
Kiribati,Industry (including construction), value added (% of GDP),2017,12.8574390243902
Kiribati,Industry (including construction), value added (% of GDP),2018,11.1077186311787
Kiribati,Industry (including construction), value added (% of GDP),2019,9.53423441594718
Kiribati,Industry (including construction), value added (% of GDP),2020,9.91876860394411
Kiribati,Industry (including construction), value added (% of GDP),2021,11.5642656608879
Kiribati,Industry (including construction), value added (% of GDP),2022,
Kiribati,Industry (including construction), value added (% of GDP),2023,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1960,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1961,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1962,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1963,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1964,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1965,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1966,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1967,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1968,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1969,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1970,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1971,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1972,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1973,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1974,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1975,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1976,
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1977,20.4428167138339
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1978,17.5320296695887
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1979,17.4041669289356
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1980,18.9190651374161
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1981,17.2893772893773
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1982,18.7677602686644
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1983,19.112380627558
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1984,17.3984900274199
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1985,16.5754704390765
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1986,18.1635255774408
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1987,18.7957485210067
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1988,22.8665794496751
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1989,22.3624470950366
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1990,23.9720422775315
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1991,22.5204043932422
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1992,22.0444498829864
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1993,21.2135254303929
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1994,19.4910468924498
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1995,20.7960680993845
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1996,20.2617423612266
St. Kitts and Nevis,Industry (including construction), value added (% of GDP),1997,19.4335589597435
